"id_no","binomial","seasonal","full_habitat_code","habitat_code","elevation_lower","elevation_upper","xmin","xmax","ymin","ymax","path"
57624,"Leptobrachium ailaonicum",1,"1.6|5.1","1.6|5.1",0,9000,9690469,9820469,2887077,3086077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_57624_1.tif"
58730,"Hylarana taipehensis",1,"1.6|2.2|3.6|4.6|5.1|5.2|5.4|5.5|5.6|5.7|5.8|15.2|15.7","1.6|2.2|3.6|4.6|5.1|5.2|5.4|5.5|5.6|5.7|5.8|15.2|15.7",0,9000,8838469,11765469,684077,3271077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_58730_1.tif"
58648,"Odorrana lungshengensis",1,"1.6|1.9|5.1","1.6|1.9|5.1",900,1500,10329469,10952469,3068077,3463077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_58648_1.tif"
55512,"Dryophytes immaculatus",1,"1.4|3.4|4.4|5.1|5.4|5.6|5.7|5.8|14.2|15.5|15.7","1.4|3.4|4.4|5.1|5.4|5.6|5.7|5.8|14.2|15.5|15.7",0,9000,10808469,11839469,3266077,4976077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_55512_1.tif"
135910,"Zhangixalus minimus",1,"1.6|1.9|5.7|5.8|15.2","1.6|1.9|5.7|5.8|15.2",900,1600,10629469,10644469,2985077,3007077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_135910_1.tif"
57590,"Oreolalax jingdongensis",1,"1.9","1.9",1800,2450,9734469,9908469,2906077,3064077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_57590_1.tif"
195408,"Megophrys sangzhiensis",1,"1.4|5.1","1.4|5.1",1300,1300,10625469,10630469,3636077,3641077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_195408_1.tif"
54707,"Duttaphrynus melanostictus",1,"4.5|4.6|5.1|5.7|5.8|14.1|14.2|14.3|14.4|14.5|14.6|15.1|15.2|15.5|15.7|15.8|15.9","4.5|4.6|5.1|5.7|5.8|14.1|14.2|14.4|14.5|15.1|15.2|15.5|15.7|15.8|15.9",0,9000,6650469,11771469,-1120923,4635077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_54707_1.tif"
58989,"Zhangixalus duboisi",1,"1.9|5.7","1.9|5.7",0,9000,9995469,10038469,2758077,2858077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_58989_1.tif"
59085,"Batrachuperus pinchonii",1,"1.4|5.1|5.4|5.5","1.4|5.1|5.4|5.5",0,9000,9607469,10122469,3295077,3967077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_59085_1.tif"
57650,"Megophrys palpebralespinosa",1,"1.6|1.9|5.1","1.6|1.9|5.1",600,1800,9857469,10331469,2476077,2966077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_57650_1.tif"
58659,"Sylvirana maosonensis",1,"1.6|1.9|5.1|5.7|14.6","1.6|1.9|5.1|5.7",200,1500,9771469,10469469,2018077,3066077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_58659_1.tif"
57591,"Oreolalax liangbeiensis",1,"1.9|5.1","1.9|5.1",2850,3000,9929469,9933469,3496077,3501077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_57591_1.tif"
58213,"Amolops xinduqiao",1,"1.4|5.1","1.4|5.1",3000,9000,9543469,9866469,3658077,3878077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_58213_1.tif"
58586,"Nidirana daunchina",1,"1.9|5.4|5.7|5.8|14.4|14.6|15.7","1.9|5.4|5.7|5.8|14.4|15.7",1000,1800,9869469,10323469,3343077,3823077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_58586_1.tif"
57857,"Kaloula rugifera",1,"4.6|14.1|14.4","4.6|14.1|14.4",500,1200,9952469,10270469,3448077,4014077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_57857_1.tif"
59458,"Paramesotriton fuzhongensis",1,"1.6|4.6|5.1","1.6|4.6|5.1",400,1200,10698469,10768469,3001077,3176077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_59458_1.tif"
55657,"Hyla simplex",1,"1.6|3.6|5.7|5.8|14.1|15.7|15.8","1.6|3.6|5.7|5.8|14.1|15.7|15.8",0,9000,10076469,11593469,2102077,3608077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_55657_1.tif"
112688544,"Paramesotriton aurantius",1,"1.6|5.1","1.6|5.1",590,832,11481469,11647469,3200077,3436077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_112688544_1.tif"
59025,"Rhacophorus tuberculatus",1,"1.6|1.9|5.7|5.8","1.6|1.9|5.7|5.8",0,9000,8502469,9265469,3301077,3610077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_59025_1.tif"
58488,"Pterorana khare",1,"1.6|1.9|5.1","1.6|1.9|5.1",0,9000,8935469,9141469,3163077,3366077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_58488_1.tif"
135800,"Amolops daiyunensis",1,"1.6|1.9|5.1","1.6|1.9|5.1",700,1400,11327469,11398469,3072077,3151077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_135800_1.tif"
61862,"Amolops aniqiaoensis",1,"1.6|1.9|5.1","1.6|1.9|5.1",800,1500,9181469,9209469,3576077,3617077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_61862_1.tif"
195406,"Odorrana nanjiangensis",1,"1.6|5.1","1.6|5.1",500,650,10080469,10441469,3823077,4004077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_195406_1.tif"
58791,"Chirixalus nongkhorensis",1,"1.6|1.9|3.6|5.8","1.6|1.9|3.6|5.8",78,1660,8666469,10562469,185077,3476077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_58791_1.tif"
58660,"Odorrana margaretae",1,"1.6|1.9|5.1","1.6|1.9|5.1",0,9000,9913469,11059469,2954077,4050077,"/home/jhanson/aoh-data/AMPHIBIANS/FRC_58660_1.tif"
