"id_no","binomial","seasonal","full_habitat_code","habitat_code","elevation_lower","elevation_upper","xmin","xmax","ymin","ymax","path"
22696038,"Aquila nipalensis",2,"4.4|6|8.2","4.4|6|8.2",0,3000,3116469,11763469,3790077,5894077,"/home/jhanson/frc-data/BOTW/FRC_22696038_2.tif"
22696038,"Aquila nipalensis",3,"1.5|2.1|4.5|8.1","1.5|2.1|4.5|8.1",0,3000,1337469,11129469,-3420923,4221077,"/home/jhanson/frc-data/BOTW/FRC_22696038_3.tif"
22694956,"Aviceda jerdoni",1,"1.6|1.9|14.3","1.6|1.9",200,1100,7232469,12202469,-757923,3506077,"/home/jhanson/frc-data/BOTW/FRC_22694956_1.tif"
61695117,"Buteo buteo",1,"1.4|3.4|5.4|14.1|14.2","1.4|3.4|5.4|14.1|14.2",0,2000,-2782531,7932469,1878077,6317077,"/home/jhanson/frc-data/BOTW/FRC_61695117_1.tif"
61695117,"Buteo buteo",3,"1.6|1.9|2.1","1.6|1.9|2.1",0,2000,-1668531,7970469,-4174923,6294077,"/home/jhanson/frc-data/BOTW/FRC_61695117_3.tif"
22695137,"Haliaeetus albicilla",2,"1.1|1.4|4.1|4.2|5.4|5.10","1.1|1.4|4.1|4.2|5.4|5.10",0,1500,1379469,16625469,4363077,7043077,"/home/jhanson/frc-data/BOTW/FRC_22695137_2.tif"
22695137,"Haliaeetus albicilla",1,"5.1|5.5|12.1|13.1|13.4|13.5|15.1|15.3","5.1|5.5|15.1|15.3",0,1500,-5210531,16725469,4324077,6947077,"/home/jhanson/frc-data/BOTW/FRC_22695137_1.tif"
22695097,"Haliaeetus leucogaster",1,"5.1|5.5|12.1|12.2|12.3|13.1","5.1|5.5",0,900,7029469,14886469,-5055923,3251077,"/home/jhanson/frc-data/BOTW/FRC_22695097_1.tif"
22732090,"Nisaetus cirrhatus",1,"1.6|2.1|5.1|5.4|14.1|14.3|14.4","1.6|2.1|5.1|5.4|14.1|14.4",0,1500,6770469,12215469,-1124923,3688077,"/home/jhanson/frc-data/BOTW/FRC_22732090_1.tif"
22727668,"Ardea intermedia",1,"1.7|1.8|4.6|5.1|5.4|5.5|5.6|5.8|5.13|5.15|5.16|12.4|12.5|13.4|13.5|15.2|15.7|15.8","1.7|1.8|4.6|5.1|5.4|5.5|5.6|5.8|5.13|5.15|5.16|15.2|15.7|15.8",0,1450,6273469,14858469,-1124923,3891077,"/home/jhanson/frc-data/BOTW/FRC_22727668_1.tif"
22727668,"Ardea intermedia",2,"1.7|1.8|4.6|5.1|5.4|5.5|5.6|5.8|5.13|5.15|5.16|12.4|12.5|13.4|13.5|15.2|15.7|15.8","1.7|1.8|4.6|5.1|5.4|5.5|5.6|5.8|5.13|5.15|5.16|15.2|15.7|15.8",0,1450,9404469,13660469,2535077,4637077,"/home/jhanson/frc-data/BOTW/FRC_22727668_2.tif"
22727668,"Ardea intermedia",3,"1.7|1.8|4.6|5.1|5.4|5.5|5.6|5.8|5.13|5.15|5.16|12.4|12.5|13.4|13.5|15.2|15.7|15.8","1.7|1.8|4.6|5.1|5.4|5.5|5.6|5.8|5.13|5.15|5.16|15.2|15.7|15.8",0,1450,6534469,14842469,-1395923,4094077,"/home/jhanson/frc-data/BOTW/FRC_22727668_3.tif"
22697237,"Gorsachius goisagi",1,"1.4|1.5|1.6|1.9","1.4|1.5|1.6|1.9",0,2400,11340469,11382469,3529077,3577077,"/home/jhanson/frc-data/BOTW/FRC_22697237_1.tif"
22682510,"Aceros nipalensis",1,"1.6|1.9","1.6|1.9",300,2400,8440469,10114469,1887077,3579077,"/home/jhanson/frc-data/BOTW/FRC_22682510_1.tif"
22689690,"Lyncornis macrotis",1,"1.6|3.5|4.5","1.6|3.5|4.5",0,1000,7133469,12215469,-726923,3490077,"/home/jhanson/frc-data/BOTW/FRC_22689690_1.tif"
22727255,"Ciconia episcopus",1,"1.7|1.8|4.6|5.1|5.7|5.8|12.4|14.1|14.3|15.1|15.2|15.7|15.8","1.7|1.8|4.6|5.1|5.7|5.8|14.1|15.1|15.2|15.7|15.8",0,1400,6735469,11569469,-1116923,4274077,"/home/jhanson/frc-data/BOTW/FRC_22727255_1.tif"
22690191,"Columba punicea",1,"1.6|1.9|3.6","1.6|1.9|3.6",0,1600,7666469,10490469,1453077,3588077,"/home/jhanson/frc-data/BOTW/FRC_22690191_1.tif"
22726285,"Treron phayrei",1,"1.6","1.6",0,1000,7811469,10551469,1263077,3539077,"/home/jhanson/frc-data/BOTW/FRC_22726285_1.tif"
22721016,"Emberiza yessoensis",3,"4.4|12.5","4.4",0,9000,11095469,13572469,3020077,4526077,"/home/jhanson/frc-data/BOTW/FRC_22721016_3.tif"
22721016,"Emberiza yessoensis",2,"4.4|5.1|5.5","4.4|5.1|5.5",0,9000,11374469,13652469,3943077,5627077,"/home/jhanson/frc-data/BOTW/FRC_22721016_2.tif"
22696492,"Falco jugger",1,"2.1|3.5|4.5|14.1|14.2","2.1|3.5|4.5|14.1|14.2",0,1000,6261469,9417469,1078077,4205077,"/home/jhanson/frc-data/BOTW/FRC_22696492_1.tif"
22694537,"Sterna aurantia",1,"5.1|5.5","5.1|5.5",0,600,6150469,10384469,1027077,4273077,"/home/jhanson/frc-data/BOTW/FRC_22694537_1.tif"
22709717,"Calliope obscura",2,"1.4","1.4",2100,3350,9919469,10519469,3764077,4269077,"/home/jhanson/frc-data/BOTW/FRC_22709717_2.tif"
22709717,"Calliope obscura",4,"3.4","3.4",2100,3350,9649469,10363469,2342077,4075077,"/home/jhanson/frc-data/BOTW/FRC_22709717_4.tif"
22709591,"Ficedula hodgsoni",1,"1.9|3.7","1.9|3.7",0,9000,8004469,12193469,-1175923,3561077,"/home/jhanson/frc-data/BOTW/FRC_22709591_1.tif"
22709406,"Ficedula superciliaris",3,"1.5|1.6|2.1|14.1|14.3|14.4|14.5","1.5|1.6|2.1|14.1|14.4|14.5",0,9000,7100469,10063469,1528077,3313077,"/home/jhanson/frc-data/BOTW/FRC_22709406_3.tif"
22709406,"Ficedula superciliaris",2,"1.9","1.9",0,9000,6635469,10097469,3176077,4292077,"/home/jhanson/frc-data/BOTW/FRC_22709406_2.tif"
22710184,"Saxicola torquatus",3,"1.9|3.5|3.6|3.8|4.5|4.7|5.4|5.7|5.8|5.11|14.1|14.3|14.4|14.5","1.9|3.5|3.6|3.8|4.5|4.7|5.4|5.7|5.8|5.11|14.1|14.4|14.5",0,3200,-1650531,11593469,890077,6088077,"/home/jhanson/frc-data/BOTW/FRC_22710184_3.tif"
22710184,"Saxicola torquatus",2,"1.1|1.4|1.9|3.4|3.5|3.6|3.8|4.4|4.5|4.7|5.4|5.7|5.8|5.11|14.1|14.2|14.3|14.4|14.5","1.1|1.4|1.9|3.4|3.5|3.6|3.8|4.4|4.5|4.7|5.4|5.7|5.8|5.11|14.1|14.2|14.4|14.5",0,3200,-928531,16608469,2377077,6881077,"/home/jhanson/frc-data/BOTW/FRC_22710184_2.tif"
22727124,"Dendrocopos leucotos",1,"1.1|1.4|1.6|1.9|5.1|5.7","1.1|1.4|1.6|1.9|5.1|5.7",0,1850,-160531,15819469,2810077,6705077,"/home/jhanson/frc-data/BOTW/FRC_22727124_1.tif"
22692317,"Rallina eurizonoides",1,"1.6|1.7|1.8|1.9|3.6|5.1|14.1|15.8","1.6|1.7|1.8|1.9|3.6|5.1|14.1|15.8",0,1600,6782469,12999469,-726923,3783077,"/home/jhanson/frc-data/BOTW/FRC_22692317_1.tif"
22692702,"Zapornia paykullii",3,"4.6|5.4","4.6|5.4",0,9000,9184469,12407469,-1114923,4462077,"/home/jhanson/frc-data/BOTW/FRC_22692702_3.tif"
22692702,"Zapornia paykullii",2,"4.4|5.4","4.4|5.4",0,9000,11024469,13199469,3898077,5934077,"/home/jhanson/frc-data/BOTW/FRC_22692702_2.tif"
22711231,"Sitta formosa",1,"1.4|1.9","1.4|1.9",600,2400,8508469,10166469,2265077,3563077,"/home/jhanson/frc-data/BOTW/FRC_22711231_1.tif"
22711228,"Sitta magna",1,"1.5|1.9","1.5|1.9",1000,2500,9215469,10155469,2235077,3396077,"/home/jhanson/frc-data/BOTW/FRC_22711228_1.tif"
22716826,"Suthora nipalensis",1,"1.9|3.7|4.7|14.6","1.9|3.7|4.7",1200,3300,7572469,10485469,1711077,3709077,"/home/jhanson/frc-data/BOTW/FRC_22716826_1.tif"
22680321,"Anas crecca",2,"1.1|3.3|5.1|5.4|5.5|5.7|5.10|5.14|5.16","1.1|3.3|5.1|5.4|5.5|5.7|5.10|5.14|5.16",0,9000,-17277531,17329469,4546077,7100077,"/home/jhanson/frc-data/BOTW/FRC_22680321_2.tif"
22680321,"Anas crecca",3,"12.4|12.5|13.4|13.5|14.1|15.1|15.2","14.1|15.1|15.2",0,9000,-1753531,14070469,-525923,6199077,"/home/jhanson/frc-data/BOTW/FRC_22680321_3.tif"
22682655,"Upupa epops",2,"2.1|4.4|4.5|14.2|14.3|14.4|14.5","2.1|4.4|4.5|14.2|14.4|14.5",0,3650,-916531,13654469,3099077,6354077,"/home/jhanson/frc-data/BOTW/FRC_22682655_2.tif"
22682655,"Upupa epops",1,"2.1|4.4|4.5|14.2|14.3|14.4|14.5","2.1|4.4|4.5|14.2|14.4|14.5",0,3650,-1753531,11804469,-4181923,4825077,"/home/jhanson/frc-data/BOTW/FRC_22682655_1.tif"
181568721,"Milvus migrans",1,"1.4|1.5|1.6|2.1|3.4|3.5|3.8|4.4|4.5|5.4|8.1|12.1|12.2|12.3|12.6|13.1|14.1|14.2|14.4|14.5","1.4|1.5|1.6|2.1|3.4|3.5|3.8|4.4|4.5|5.4|8.1|14.1|14.2|14.4|14.5",0,4900,-955531,14824469,-4622923,5389077,"/home/jhanson/frc-data/BOTW/FRC_181568721_1.tif"
22697232,"Oroanassa magnifica",1,"1.6|5.1","1.6|5.1",0,9000,9632469,11785469,2279077,3990077,"/home/jhanson/frc-data/BOTW/FRC_22697232_1.tif"
22717680,"Kurochkinegramma hypogrammica",1,"1.6|1.8|5.4|14.3","1.6|1.8|5.4",0,9000,9092469,11508469,-757923,3256077,"/home/jhanson/frc-data/BOTW/FRC_22717680_1.tif"
